1st,2nd,3rd,4th,5th
2.18366,2.235799,2.200079,2.203452,2.231944
1.14551,1.150335,1.166781,1.166368,1.186747
0.810735,0.80212,0.839276,0.917732,0.940501
0.701076,0.652179,0.717491,0.683334,0.69089
0.665408,0.551621,0.673688,0.599569,0.647175
0.608648,0.553524,0.624774,0.539662,0.610624
0.523728,0.61849,0.51716,0.634684,0.518668
0.644299,0.6034,0.703422,0.632866,0.543336
